,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
55,Swammerdambuurt,52.3579718,4.90776105,L'Angoletto,52.35740054046041,4.902110860970699,Italian Restaurant
56,Swammerdambuurt,52.3579718,4.90776105,Ibis Styles Amsterdam City,52.357911676151225,4.900737894957388,Hotel
57,Swammerdambuurt,52.3579718,4.90776105,Amstel Corner Hotel,52.359094557630215,4.902886190983406,Bed & Breakfast
58,Swammerdambuurt,52.3579718,4.90776105,Ctaste,52.35426884408159,4.906479462558539,Gastropub
59,Swammerdambuurt,52.3579718,4.90776105,ibis Styles Amsterdam Amstel,52.35787927050906,4.900504881337156,Hotel
60,Swammerdambuurt,52.3579718,4.90776105,Café Bloemers,52.35546591187247,4.903334380738928,Café
61,Swammerdambuurt,52.3579718,4.90776105,Hotel Atlantis,52.3554482768991,4.902357612167076,Hotel
62,Swammerdambuurt,52.3579718,4.90776105,Lidl,52.35793303990097,4.901519940218899,Supermarket
63,Swammerdambuurt,52.3579718,4.90776105,Iris Hotel,52.35887985126163,4.90283503957528,Hotel
64,Swammerdambuurt,52.3579718,4.90776105,Sea Shepherd Netherlands & Global HQ,52.35505705083512,4.911854566046607,Office
65,Swammerdambuurt,52.3579718,4.90776105,Frederiksplein fontein,52.360307193410556,4.901581563338425,Plaza
66,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Volkshotel,52.35374943484191,4.912250719869776,Hotel
67,Weesperzijde Midden/Zuid,52.35224215,4.91153095,BENJI'S,52.352436766284484,4.912935408244952,Breakfast Spot
68,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Rotisserie Rijsel,52.351527,4.912607,Restaurant
69,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Drovers Dog,52.35201803987231,4.913375095163036,Australian Restaurant
70,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Werkplaats,52.353772320152814,4.9121954133961605,Bar
71,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Canvas,52.35395172305471,4.9118582991221,Restaurant
72,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Volkshotel Bar,52.35378310197982,4.911929463606807,Hotel Bar
73,Weesperzijde Midden/Zuid,52.35224215,4.91153095,SwimGym,52.35425153878869,4.912655510247746,Pool
74,Weesperzijde Midden/Zuid,52.35224215,4.91153095,The Student Hotel Amsterdam City,52.354653850765786,4.91320342946571,Hotel
75,Weesperzijde Midden/Zuid,52.35224215,4.91153095,C Amsterdam,52.35462341689701,4.912568968739495,Modern European Restaurant
76,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Côte Wispe,52.352946,4.910421,Café
77,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Volkskrantgebouw,52.354007392729116,4.91189975362831,Art Gallery
78,Weesperzijde Midden/Zuid,52.35224215,4.91153095,TOLBAR,52.35287761475078,4.906441547218405,Bar
79,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Pizza Heart Bar,52.349253,4.914,Pizza Place
80,Weesperzijde Midden/Zuid,52.35224215,4.91153095,VondelGym East,52.354106515703045,4.9129620342544555,Gym / Fitness Center
81,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Pizza Bar Loulou,52.355826207122846,4.907393740755977,Pizza Place
82,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Cinetol,52.352816731455555,4.906608016920945,Performing Arts Venue
83,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Pestana,52.35332827733642,4.907190331425203,Hotel
84,Weesperzijde Midden/Zuid,52.35224215,4.91153095,The Commons Restaurant,52.35432376059896,4.9126494829021174,Hotel Bar
85,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Sukha Yoga,52.3542924516442,4.906352885134654,Yoga Studio
86,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Beter & Leuk,52.356167,4.9099565,Café
87,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Weesper,52.34890807533974,4.913115273155097,Café
88,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Pepenero,52.35579,4.907731,Italian Restaurant
89,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Stek,52.35623873584955,4.911457300186157,Breakfast Spot
90,Weesperzijde Midden/Zuid,52.35224215,4.91153095,India Roti Room,52.356111266732135,4.909876703208382,Indian Restaurant
91,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Broodbakker Simon Meyssen,52.348446691605666,4.909211152011192,Bakery
92,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Saffraan,52.355258,4.907656,Middle Eastern Restaurant
93,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Café Restaurant Hesp,52.34984570685788,4.912443765148533,Bar
94,Weesperzijde Midden/Zuid,52.35224215,4.91153095,De Verdieping,52.3539967042265,4.912324021145074,General Entertainment
95,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Dragon’s Delight,52.35313403,4.90745402,Bakery
96,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Hopp,52.35017974632021,4.9180385967352205,Roof Deck
97,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Ibssa,52.35654363779611,4.909982621585617,African Restaurant
98,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Eetcafe Ibis,52.355727665840284,4.907274665477033,African Restaurant
99,Weesperzijde Midden/Zuid,52.35224215,4.91153095,The Breakfast Club,52.356407473039845,4.910683727591058,Breakfast Spot
100,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Cafe Kees,52.355737,4.907496,Café
101,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Doka,52.3537935269494,4.912173241515969,Hotel Bar
102,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Albert Heijn,52.35570282780258,4.91076391539513,Supermarket
103,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Ctaste,52.35426884408159,4.906479462558539,Gastropub
